id,page_type,year_established,country
0,tvshow,2017,Mauritius
1,government,2019,Tajikistan
2,company,2006,South Sudan
3,government,2011,Portugal
4,politician,2008,Marshall Islands
5,politician,2014,Uzbekistan
6,politician,2020,South Sudan
7,politician,2010,France
8,government,2018,Chile
9,government,2021,China
10,government,2014,Laos
11,politician,2005,Belarus
12,government,2013,Chile
13,government,2007,Rwanda
14,government,2020,Andorra
15,government,2019,Croatia
16,company,2002,Haiti
17,politician,2017,Tajikistan
18,government,2019,Libya
19,company,2002,Sudan
20,politician,2004,Andorra
21,company,2006,Norway
22,government,2015,Zimbabwe
23,company,2018,Ukraine
24,company,2015,Peru
25,company,2016,Iceland
26,government,2020,Russian Federation
27,tvshow,2023,Bahamas
28,company,2008,Portugal
29,company,2012,Saint Vincent & the Grenadines
30,company,2012,Vanuatu
31,government,2010,Malaysia
32,government,2016,France
33,politician,2009,Macedonia
34,politician,2018,Liberia
35,company,2011,Slovenia
36,company,2004,Serbia
37,government,2019,Bhutan
38,government,2019,Paraguay
39,government,2016,Mozambique
40,politician,2013,Kazakhstan
41,government,2013,Mauritius
42,company,2009,Liechtenstein
43,government,2021,Ireland
44,tvshow,2019,Brunei
45,company,2016,Tunisia
46,politician,2019,Egypt
47,government,2009,Guyana
48,company,2002,Austria
49,company,2015,Brazil
50,government,2018,Tajikistan
51,politician,2007,Peru
52,tvshow,2007,Slovenia
53,company,2012,Bahamas
54,government,2016,New Zealand
55,tvshow,2016,Sudan
56,government,2020,Zimbabwe
57,company,2015,Fiji
58,government,2004,Turkey
59,politician,2018,Kosovo
60,politician,2005,Congo
61,company,2009,Barbados
62,politician,2002,Slovenia
63,company,2004,Ireland
64,government,2013,Sierra Leone
65,company,2018,Ireland
66,company,2017,India
67,politician,2002,Sudan
68,tvshow,2005,Philippines
69,tvshow,2003,Malaysia
70,tvshow,2015,Mauritius
71,politician,2006,Rwanda
72,government,2004,Poland
73,politician,2010,Peru
74,government,2007,Bangladesh
75,government,2020,Estonia
76,company,2021,Nicaragua
77,politician,2016,Vatican City
78,politician,2002,Albania
79,tvshow,2002,Greece
80,government,2016,Mauritania
81,government,2005,Lithuania
82,politician,2015,Central African Rep
83,government,2007,Jordan
84,government,2013,Peru
85,government,2021,United Arab Emirates
86,company,2008,Taiwan
87,government,2004,Bahamas
88,government,2009,Bhutan
89,politician,2020,Peru
90,government,2007,Cambodia
91,company,2013,Burkina
92,company,2012,United Kingdom
93,politician,2019,Ireland
