id,dev_domain,gender,year_joined,hacktoberfest
0,Android,M,2011,Yes
1,DevOps,M,2016,Yes
2,Web,Other,2009,No
3,DevOps,F,2021,Yes
4,Web,M,2017,Yes
5,Machine Learning,F,2011,Yes
6,Cloud,F,2015,Yes
7,Machine Learning,M,2015,No
8,Machine Learning,F,2009,No
9,Machine Learning,M,2014,Yes
10,Windows,F,2016,Yes
11,Android,F,2015,No
12,Machine Learning,F,2015,Yes
13,Machine Learning,M,2019,Yes
14,Windows,M,2010,No
15,Cybersecurity,F,2015,No
16,Windows,F,2019,Yes
17,IOS,F,2017,No
18,Android,M,2010,Yes
19,Cloud,Other,2008,No
20,Cybersecurity,F,2010,No
21,DevOps,M,2008,Yes
22,Machine Learning,F,2011,No
23,DevOps,Other,2012,No
24,Android,F,2021,No
25,Android,M,2008,No
26,Android,M,2014,No
27,Machine Learning,M,2012,Yes
28,IOS,F,2014,No
29,Windows,F,2016,No
30,Cybersecurity,F,2020,Yes
31,IOS,M,2014,Yes
32,IOS,M,2015,Yes
33,DevOps,F,2017,Yes
34,Cybersecurity,M,2021,No
35,Cybersecurity,M,2018,Yes
36,Web,F,2019,Yes
37,Windows,M,2014,Yes
38,Machine Learning,M,2015,Yes
39,Android,Other,2014,Yes
40,Cloud,M,2021,Yes
41,Cybersecurity,M,2023,Yes
42,Windows,F,2017,No
43,Web,F,2011,Yes
44,Web,Other,2008,Yes
45,Machine Learning,F,2017,No
46,Windows,M,2008,No
47,Machine Learning,M,2013,Yes
48,DevOps,M,2021,Yes
49,Web,F,2014,Yes
50,Android,F,2008,Yes
51,Windows,Other,2012,No
52,Web,M,2015,Yes
53,Machine Learning,F,2010,No
54,Android,F,2020,No
55,IOS,F,2009,Yes
56,Windows,M,2021,No
57,Android,F,2023,No
58,Cybersecurity,F,2023,No
59,Cloud,F,2020,No
60,Cloud,M,2012,Yes
61,DevOps,M,2010,No
62,Web,M,2020,No
63,Web,M,2016,No
64,Machine Learning,M,2014,Yes
65,Web,F,2011,No
66,DevOps,Other,2022,Yes
67,Web,M,2022,Yes
68,Windows,M,2011,Yes
69,IOS,Other,2016,No
70,Machine Learning,M,2021,Yes
71,Machine Learning,F,2015,Yes
72,DevOps,M,2018,No
73,Windows,F,2020,Yes
74,Web,F,2008,No
75,IOS,F,2012,Yes
76,Cybersecurity,F,2008,Yes
77,Machine Learning,F,2022,Yes
78,Windows,M,2020,No
79,Cloud,M,2013,No
80,Android,F,2010,Yes
81,IOS,F,2021,Yes
82,Cloud,M,2013,No
83,Android,F,2016,Yes
84,Cloud,F,2023,No
85,Cybersecurity,F,2016,Yes
86,Android,F,2008,No
87,Machine Learning,F,2022,Yes
88,IOS,F,2011,Yes
89,Machine Learning,M,2008,Yes
90,Windows,F,2019,Yes
91,Web,F,2010,No
92,IOS,F,2014,No
93,Machine Learning,F,2017,No
94,Cloud,M,2008,Yes
95,Cloud,M,2023,Yes
96,Web,F,2010,Yes
97,IOS,F,2008,No
98,IOS,F,2008,Yes
99,Android,F,2015,No
100,Windows,Other,2018,Yes
101,Android,Other,2018,No
102,DevOps,M,2011,Yes
103,IOS,M,2013,Yes
104,Android,M,2015,No
105,Android,M,2021,Yes
106,Cybersecurity,F,2014,Yes
107,Web,F,2010,Yes
108,Machine Learning,F,2018,No
109,Cybersecurity,M,2021,Yes
110,Web,F,2017,No
111,Android,F,2012,No
112,Cloud,M,2008,No
113,Cloud,M,2010,No
114,Cloud,M,2022,No
115,Machine Learning,F,2016,Yes
